UniverName,Name,Code,Scholarship,Contract,PSchol,PCont,Lang,Type,FirstSub,SecondSub
Ipak Yoli Xalqaro Turizm Universiteti,Gid hamrohligi va tarjimonlik faoliyati: ingliz tili,5611501,176.2,163.8,94,88,uz,kunduzgi,Chet tili,Ona tili
Ipak Yoli Xalqaro Turizm Universiteti,Marketing: turizm marketingi,5230405,170.2,137.8,91,74,uz,kunduzgi,Matematika,Chet tili
Ipak Yoli Xalqaro Turizm Universiteti,Menejment: mehmonxonalarni boshqarish,5230203,157.0,132.2,84,71,uz,kunduzgi,Matematika,Chet tili
Ipak Yoli Xalqaro Turizm Universiteti,Menejment: ommaviy tadbirlar menejmenti,5230208,147.6,113.3,79,60,uz,kunduzgi,Matematika,Chet tili
Ipak Yoli Xalqaro Turizm Universiteti,Menejment: restoran biznesini boshqarish,5230206,141.6,125.3,76,67,uz,kunduzgi,Matematika,Chet tili
Ipak Yoli Xalqaro Turizm Universiteti,Menejment: turizm biznesini boshqarish,5230202,176.3,153.8,94,82,uz,kunduzgi,Matematika,Chet tili
Ipak Yoli Xalqaro Turizm Universiteti,Turizm (faoliyat yo‘nalishlari bo‘yicha ),5610300,170.0,163.5,91,87,uz,kunduzgi,Tarix,Chet tili
Ozbekiston Davlat San At Va Madaniyat Instituti,Kutubxona-axborot faoliyati (faoliyat turlari bo‘yicha),5350600,145.1,94.0,78,50,uz,kunduzgi,Matematika,Ona tili
Ozbekiston Davlat San At Va Madaniyat Instituti,Madaniyat va san’at muassasalarini tashkil etish hamda boshqarish,5151700,166.8,151.7,89,81,uz,kunduzgi,Tarix,Ona tili
Ozbekiston Davlat San At Va Madaniyat Instituti,San’at sohasida prodyuserlik,5152100,157.8,112.5,84,60,uz,kunduzgi,Matematika,Chet tili
Navoiy Davlat Konchilik Institutining Olmaliq Shahridagi Fakulteti,Kimyoviy texnologiya (ishlab chiqarish turlari bo‘yicha),5320400,97.2,72.5,52,38,uz,kunduzgi,Kimyo,Matematika
Navoiy Davlat Konchilik Institutining Olmaliq Shahridagi Fakulteti,Konchilik elektr mexanikasi,5312200,100.5,87.9,54,47,uz,kunduzgi,Matematika,Fizika
Navoiy Davlat Konchilik Institutining Olmaliq Shahridagi Fakulteti,Konchilik ishi (faoliyat turlari bo‘yicha),5311600,113.5,82.0,61,44,uz,kunduzgi,Matematika,Fizika
Navoiy Davlat Konchilik Institutining Olmaliq Shahridagi Fakulteti,"Mashinasozlik texnologiyasi, mashinasozlik ishlab chiqarishini jihozlash va avtomatlashtirish",5320200,119.7,97.7,64,52,uz,kunduzgi,Matematika,Fizika
Navoiy Davlat Konchilik Institutining Olmaliq Shahridagi Fakulteti,Metallurgiya,5310300,88.2,72.0,47,38,uz,kunduzgi,Kimyo,Matematika
Navoiy Davlat Konchilik Institutining Olmaliq Shahridagi Fakulteti,Texnologik mashinalar va jihozlar (tarmoqlar bo‘yicha),5320300,110.4,94.7,59,50,uz,kunduzgi,Matematika,Fizika
Andijon Tibbiyot Instituti,Farmatsiya (turlari bo‘yicha),5510500,166.9,157.4,89,84,uz,kunduzgi,Biologiya,Kimyo
Andijon Tibbiyot Instituti,Oliy hamshiralik ishi,5510700,126.2,107.4,67,57,uz,kunduzgi,Biologiya,Ona tili
Andijon Tibbiyot Instituti,Stomatologiya (yo‘nalishlar bo‘yicha),5510400,179.6,173.3,96,93,uz,kunduzgi,Biologiya,Kimyo
Andijon Tibbiyot Instituti,Tibbiy profilaktika ishi,5510300,145.1,138.5,78,74,uz,kunduzgi,Biologiya,Kimyo
Andijon Tibbiyot Instituti,Xalq tabobati,5511100,125.7,113.4,67,60,uz,kunduzgi,Biologiya,Kimyo
Andijon Davlat Universiteti,Amaliy matematika,5130200,126.7,113.6,68,61,uz,kunduzgi,Matematika,Fizika
Andijon Davlat Universiteti,Arxivshunoslik,5220300,123.5,101.7,66,54,uz,kunduzgi,Matematika,Tarix
Andijon Davlat Universiteti,Biologiya (turlari bo‘yicha),5140100,163.7,148.3,88,79,uz,kunduzgi,Biologiya,Kimyo
Andijon Davlat Universiteti,Boshlang‘ich ta’lim,5111700,150.9,123.4,81,66,uz,kunduzgi,Matematika,Ona tili
Andijon Davlat Universiteti,Ekologiya va atrof-muhit muhofazasi (tarmoqlar va sohalar bo‘yicha),5630100,125.6,100.2,67,53,uz,kunduzgi,Biologiya,Kimyo
Andijon Davlat Universiteti,Filologiya va tillarni o‘qitish: o‘zbek tili,5120101,176.4,148.3,94,79,uz,kunduzgi,Ona tili,Chet tili
Andijon Davlat Universiteti,Fizika,5140200,157.3,113.8,84,61,uz,kunduzgi,Matematika,Fizika
Andijon Davlat Universiteti,Fizika va astronomiya,5110200,144.5,109.9,77,59,uz,kunduzgi,NaN,NaN
Andijon Davlat Universiteti,Geografiya,5140600,128.7,85.2,69,45,uz,kunduzgi,Matematika,Geografiya
Andijon Davlat Universiteti,Gid hamrohligi va tarjimonlik faoliyati: ingliz tili,5611501,164.2,157.6,88,84,uz,kunduzgi,Chet tili,Ona tili
Andijon Davlat Universiteti,Inson resurslarini boshqarish,5231600,141.0,112.2,75,60,uz,kunduzgi,Matematika,Chet tili
Andijon Davlat Universiteti,Kimyo (turlari bo‘yicha),5140500,125.8,85.1,67,45,uz,kunduzgi,Kimyo,Matematika
Andijon Davlat Universiteti,Kompyuter injiniringi: AT-Servis,5330502,122.9,85.3,66,45,uz,kunduzgi,Matematika,Fizika
Andijon Davlat Universiteti,Kompyuter injiniringi: “Kompyuter injiniringi”,5330501,116.7,98.2,62,52,uz,kunduzgi,Matematika,Fizika
Andijon Davlat Universiteti,Madaniyat va san’at muassasalarini tashkil etish hamda boshqarish,5151700,157.6,138.5,84,74,uz,kunduzgi,Tarix,Ona tili
Andijon Davlat Universiteti,Maktabgacha ta’lim,5111800,145.2,109.8,78,59,uz,kunduzgi,Biologiya,Ona tili
Andijon Davlat Universiteti,Matematika,5130100,160.7,132.9,86,71,uz,kunduzgi,Matematika,Fizika
Andijon Davlat Universiteti,Matematika va informatika,5110100,148.1,107.6,79,57,uz,kunduzgi,Matematika,Fizika
Andijon Davlat Universiteti,Mehmonxona xo‘jaligini tashkil etish va boshqarish,5610200,137.8,112.8,74,60,uz,kunduzgi,Matematika,Chet tili
Andijon Davlat Universiteti,Mexanika va matematika modellashtirish,5140300,113.9,82.3,61,44,uz,kunduzgi,Matematika,Fizika
Andijon Davlat Universiteti,"Milliy g‘oya, ma’naviyat asoslari va huquq ta’limi",5111600,170.0,144.9,91,77,uz,kunduzgi,Tarix,Ona tili
Andijon Davlat Universiteti,Oziq-ovqat texnologiyasi (mahsulot turlari bo‘yicha),5321000,97.7,81.5,52,43,uz,kunduzgi,Biologiya,Kimyo
Andijon Davlat Universiteti,Pedagogika va psixologiya,5110900,154.5,128.8,83,69,uz,kunduzgi,Biologiya,Ona tili
Andijon Davlat Universiteti,Psixologiya: amaliy psixologiya,5210203,116.8,94.5,62,50,uz,kunduzgi,Biologiya,Ona tili
Andijon Davlat Universiteti,Tarix (mamlakatlar va yo‘nalishlar bo‘yicha),5120300,176.5,151.7,94,81,uz,kunduzgi,Tarix,Geografiya
Andijon Davlat Universiteti,Texnologik ta’lim,5112100,110.2,91.3,59,49,uz,kunduzgi,Matematika,Fizika
Andijon Davlat Universiteti,Turizm (faoliyat yo‘nalishlari bo‘yicha ),5610300,160.6,148.2,86,79,uz,kunduzgi,Tarix,Chet tili
Andijon Davlat Universiteti,Xorijiy til va adabiyoti: fransuz tili,5111402,154.1,110.6,82,59,uz,kunduzgi,NaN,NaN
Andijon Davlat Universiteti,Xorijiy til va adabiyoti: ingliz tili,5111400,185.8,170.1,99,91,uz,kunduzgi,Ona tili,Chet tili
Andijon Davlat Universiteti,Xorijiy til va adabiyoti: nemis tili,5111401,148.0,91.5,79,49,uz,kunduzgi,NaN,NaN
Andijon Mashinasozlik Instituti,Avtomobil servisi,5620600,88.4,72.7,47,39,uz,kunduzgi,NaN,NaN
Andijon Mashinasozlik Instituti,Avtomobilsozlik va traktorsozlik,5310500,119.8,75.7,64,40,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Axborot tizimlari va texnologiyalari (tarmoqlar va sohalar bo‘yicha),5330200,113.0,79.0,60,42,uz,kunduzgi,NaN,NaN
Andijon Mashinasozlik Instituti,Biotibbiyot muhandisligi,5313000,103.6,78.7,55,42,uz,kunduzgi,Biologiya,Kimyo
Andijon Mashinasozlik Instituti,Buxgalteriya hisobi va audit (tarmoqlar bo‘yicha),5230900,170.0,122.3,91,65,uz,kunduzgi,Matematika,Chet tili
Andijon Mashinasozlik Instituti,Elektr energetikasi (tarmoqlar va yo‘nalishlar bo‘yicha),5310200,113.8,88.3,61,47,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,"Elektr texnikasi, elektr mexanikasi va elektr texnologiyalari (tarmoqlar bo‘yicha)",5310700,103.7,78.6,55,42,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Energiya mashinasozligi (tarmoqlar bo‘yicha),5312500,78.4,69.1,42,37,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Energiya tejamkorligi va energoaudit,5312100,91.9,69.4,49,37,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Intellektual muhandislik tizimlari (tarmoqlar va sohalar bo‘yicha),5312700,78.5,72.3,42,38,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Iqtisodiyot (tarmoqlar va sohalar bo‘yicha),5230100,176.3,147.8,94,79,uz,kunduzgi,Matematika,Chet tili
Andijon Mashinasozlik Instituti,"Mashinasozlik texnologiyasi, mashinasozlik ishlab chiqarishini jihozlash va avtomatlashtirish",5320200,104.6,85.0,56,45,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Materialshunoslik va yangi materiallar texnologiyasi (tarmoqlar bo‘yicha),5320100,84.6,72.5,45,38,uz,kunduzgi,Kimyo,Matematika
Andijon Mashinasozlik Instituti,Mehnat muhofazasi va texnika xavfsizligi (tarmoqlar bo‘yicha),5640200,107.5,72.6,57,39,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Menejment (tarmoqlar va sohalar bo‘yicha),5230200,151.3,128.9,81,69,uz,kunduzgi,Matematika,Chet tili
Andijon Mashinasozlik Instituti,"Metrologiya, standartlashtirish va mahsulot sifati menejmenti (tarmoqlar bo‘yicha)",5310900,87.8,72.9,47,39,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Mexatronika va robototexnika,5312600,94.1,78.8,50,42,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Muqobil energiya manbalari (turlari bo‘yicha),5312400,94.9,75.5,51,40,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Texnologik jarayonlar va ishlab chiqarishni avtomatlashtirish va boshqarish (tarmoqlar bo‘yicha),5311000,97.1,81.3,52,43,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Texnologik mashinalar va jihozlar (tarmoqlar bo‘yicha),5320300,85.7,72.6,46,39,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Transport logistikasi (transport turlari bo‘yicha),5620100,120.2,94.6,64,50,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Transport vositalari muhandisligi (turlari bo‘yicha),5310600,94.7,72.4,50,38,uz,kunduzgi,Matematika,Fizika
Andijon Mashinasozlik Instituti,Yo‘l harakatini tashkil etish,5620400,85.8,72.8,46,39,uz,kunduzgi,Matematika,Fizika
Andijon Qishloq Xojaligi Instituti,Agrobiznes va investitsion faoliyat,5233300,129.2,107.2,69,57,uz,kunduzgi,Matematika,Chet tili
Andijon Qishloq Xojaligi Instituti,Agrokimyo va agrotuproqshunoslik,5410100,145.3,110.4,78,59,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,Agronomiya (dehqonchilik mahsulotlari turlari bo‘yicha),5410200,133.1,107.0,71,57,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,Buxgalteriya hisobi va audit (qishloq xo‘jaligida),5230901,141.0,107.2,75,57,uz,kunduzgi,Matematika,Chet tili
Andijon Qishloq Xojaligi Instituti,Dorivor o‘simliklarni yetishtirish va qayta ishlash texnologiyasi,5411100,142.0,129.2,76,69,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,Ipakchilik va tutchilik,5410900,129.6,101.1,69,54,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,Iqtisodiyot: qishloq xo‘jaligi iqtisodiyoti,5230102,131.6,106.6,70,57,uz,kunduzgi,Matematika,Chet tili
Andijon Qishloq Xojaligi Instituti,Issiqxona xo‘jaligini tashkil etish va yuritish,5411700,135.8,117.3,73,63,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,Marketing (qishloq xo‘jaligida),5230402,122.2,103.4,65,55,uz,kunduzgi,Matematika,Chet tili
Andijon Qishloq Xojaligi Instituti,Mevachilik va uzumchilik,5411000,135.7,101.4,72,54,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,O‘rmonchilik,5410800,69.2,59.9,37,32,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,O‘simliklar va qishloq xo‘jalik mahsulotlari karantini,5411500,113.4,78.0,60,41,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,O‘simliklarni himoya qilish (ekin turlari bo‘yicha),5410300,110.1,78.2,59,42,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,Qishloq va suv xo‘jaligida energiya ta’minoti,5430500,88.5,72.4,47,38,uz,kunduzgi,Matematika,Fizika
Andijon Qishloq Xojaligi Instituti,Qishloq va suv xo‘jaligida texnik servis,5430300,79.2,69.6,42,37,uz,kunduzgi,Matematika,Fizika
Andijon Qishloq Xojaligi Instituti,Qishloq xo‘jaligi ekinlari seleksiyasi va urug‘chiligi (ekin turlari bo‘yicha),5410400,126.4,107.2,67,57,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,Qishloq xo‘jalik mahsulotlarini saqlash va dastlabki ishlash texnologiyasi (mahsulotlar turlari bo‘yicha),5410500,85.0,72.6,45,39,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,"Sabzavotchilik, polizchilik va kartoshkachilik",5411600,120.2,88.5,64,47,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,Suv xo‘jaligi va melioratsiya,5450200,85.4,69.2,45,37,uz,kunduzgi,Matematika,Fizika
Andijon Qishloq Xojaligi Instituti,Suv xo‘jaligi va melioratsiya ishlarini mexanizatsiyalashtirish,5450300,75.8,69.1,40,37,uz,kunduzgi,Matematika,Fizika
Andijon Qishloq Xojaligi Instituti,Texnologik jarayonlar va ishlab chiqarishni avtomatlashtirish va boshqarish (qishloq xo‘jaligida),5311002,75.6,72.2,40,38,uz,kunduzgi,Matematika,Fizika
Andijon Qishloq Xojaligi Instituti,Turizm (agroturizm),5610301,160.5,141.6,86,76,uz,kunduzgi,Tarix,Chet tili
Andijon Qishloq Xojaligi Instituti,Veterinariya meditsinasi (faoliyat turlari bo‘yicha),5440100,123.2,91.6,66,49,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,Zooinjeneriya (turlari bo‘yicha),5410600,113.9,101.4,61,54,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,Zooinjeneriya: asalarichilik,5410602,123.0,91.5,66,49,uz,kunduzgi,Biologiya,Kimyo
Andijon Qishloq Xojaligi Instituti,Zooinjeneriya: baliqchilik,5410601,126.6,85.6,68,46,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Tibbiyot Instituti,Oliy hamshiralik ishi,5510700,113.9,106.8,61,57,uz,kunduzgi,Biologiya,Ona tili
Buxoro Davlat Tibbiyot Instituti,Stomatologiya (yo‘nalishlar bo‘yicha),5510400,170.3,164.0,91,88,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Tibbiyot Instituti,Tibbiy profilaktika ishi,5510300,151.3,144.8,81,77,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Tibbiyot Instituti,Tibbiy-biologik ish,5510900,164.0,154.4,88,83,uz,kunduzgi,Biologiya,Kimyo
